word,polarity
(-;,1
(;_;),-1
(^^),1
(^-^),1
(^^*,1
(^_^),1
(^_^;,-1
(^o^),1
(-_-),-1
(T_T),-1
(ㅡㅡ),-1
)-:,-1
*^^*,1
/^o^\,1
:(,1
:'-(,1
:-(,1
:),-1
:-),1
:/,-1
:|,1
:D,-1
:-D,-1
:p,0
:-P,-1
;,1
;),1
;-),1
;ㅅ;,-1
^///^,1
^^,1
^^//,1
^-^;,-1
^-^;;,-1
^-^;;;;;,-1
-_-^,-1
<3,1
=),1
8-),0
B-),0
XD,1
ㄱㅅ,1
ㄱㅇㄷ,1
가격이 싸다,1
가까스로,0
가까이 사귀어,1
가까이하다,1
가꾸러뜨리다,-1
가꾸러트리다,-1
가난,-2
가난뱅이,-2
가난살이,-2
가난살이하다,-2
가난설음,-2
가난에,-2
가난에 쪼들려서,-2
가난하게,-2
가난하고,-2
가난하고 어렵다,-2
가난하고 천한,-2
가난하다,-2
가난하여,-2
가난한,-2
가난한 데다가,-2
가난한 사람을,-2
가난히,-2
가년스럽다,-2
가념하다,-1
가녕스럽다,-2
가누기 어려워하다,-1
가누지 못하고,-2
가누지 못하다,-2
가누지 못할,-2
가누지 못할 정도로,-2
가누지 못함,-2
가눌 수 없게,-2
가눌 수 없을,-2
가눌 수 없이,-2
가능성이 늘어나다,2
가능성이 있다고,2
가능하다,2
가닐가닐하다,-1
가다듬어,1
가다듬어 수습하는,1
가다듬어 수습하다,1
가다듬어 정하다,1
가당찮다,-2
가당찮이,-2
가당히,1
가두거나,-1
가두거나 해치거나,-2
가드올려,-1
가뜬하게,1
가라앉다,0
가라앉지 않은,0
가라앉혀 바로잡다,1
가래,-1
가래 따위가,-1
가래가,-1
가래가 섞인,-1
가량맞고,-1
가량맞고 야살스러운,-1
가량맞고 야살스러움,-1
가려서 좋아하다,-1
가려운,-1
가려운 느낌이,-1
가려운 증상을,-1
가련하게,-1
가련하게 여기다,-1
가련하게 여김,-1
가련한,-1
가련한 듯하다,-1
가렵고,-1
가로막아서,-1
가로채서,-1
가로채어,-1
가르치며,1
가르침,1
가르침을 받아,0
가리지 못하다,-1
가리지 않고,0
가마득하다,-1
가만있지 못하고,-1
가망 없는,-1
가망이 없게,-2
가벼운 마음으로,1
가벼운 말이나,-1
가벼운 상처,-1
가벼운 슬픔,-1
가벼운 행동으로,-1
가볍게,-1
가볍게 까부는,-1
가볍게 까불다,-1
가볍게 쑤시듯,-1
가볍게 웃다,1
가볍게 채신없이,-1
가볍게 행동하거나,-1
가볍게 행동하는,-1
가볍게 행동하다,-1
가볍고,1
가볍고 보드랍게,1
가볍고 상쾌하다,2
가볍고 상쾌한,2
가볍고 시원하게,2
가볍고 편안하게,2
가볍고 환하게,2
가분가분,1
가분히,1
가뿐가뿐,1
가뿐가뿐하다,1
가뿐가뿐히,1
가뿐하게,1
가뿐하다,1
가뿐한,1
가뿐한 느낌,1
가뿐한 느낌이,1
가뿐히,1
가쁘게,-1
가쁘게 쉬다,-1
가쁘고,-1
가쁘고 거칠게,-1
